index,gender,dob,commune,created_at,department,education_level,university,current_employed,formal_sector_job,have_computer_home,internet_at_home,hear_AA_1,after_AA,quest_id,Commune_en,Commune_Id,Departement,Payment Method
39,male,16/10/1996,HT0111,2021-02-24,HT01,Bachelors (bacc +4),other,No,unknown,No,No,other,Improving my data analysis skills,9061312a-ce95-11eb-ba28-7c67a234f601,Port-au-Prince,HT0111,West,Credit Card/Paypal
40,male,01/03/1996,HT0111,2021-02-25,HT01,Other,unknown,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90614c17-ce95-11eb-b604-7c67a234f601,Port-au-Prince,HT0111,West,Moncash
41,male,11/11/1994,HT0111,2021-02-25,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,9061581f-ce95-11eb-af12-7c67a234f601,Port-au-Prince,HT0111,West,Moncash
42,male,03/09/1989,HT0111,2021-02-25,HT01,Other,unknown,Yes,Yes,Yes,Yes,Facebook,Switching careers,90615820-ce95-11eb-9088-7c67a234f601,Port-au-Prince,HT0111,West,
43,male,14/09/1996,HT0111,2021-02-28,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,906178f8-ce95-11eb-95e9-7c67a234f601,Port-au-Prince,HT0111,West,
44,male,13/12/1987,HT0111,2021-03-02,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),Yes,Yes,Yes,Yes,Facebook,Improving my data analysis skills,90617f12-ce95-11eb-a3c8-7c67a234f601,Port-au-Prince,HT0111,West,Credit Card/Paypal
45,male,13/10/1996,HT0111,2021-03-02,HT01,Other,unknown,Yes,Yes,Yes,Yes,WhatsApp,other,90617f13-ce95-11eb-bc4e-7c67a234f601,Port-au-Prince,HT0111,West,Moncash
46,male,10/12/2001,HT0111,2021-03-03,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,other,Finding a job/internship,9061a61c-ce95-11eb-ba30-7c67a234f601,Port-au-Prince,HT0111,West,
47,female,01/11/1996,HT0111,2021-03-03,HT01,Bachelors (bacc +4),Centre de Techniques de Planification et d'Economie Appliquée (CTPEA),No,unknown,Yes,Yes,other,Mentorship,9061a61d-ce95-11eb-a939-7c67a234f601,Port-au-Prince,HT0111,West,Moncash
48,male,17/04/1996,HT0111,2021-03-03,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,WhatsApp,Improving my data analysis skills,9061d752-ce95-11eb-afc7-7c67a234f601,Port-au-Prince,HT0111,West,
49,male,31/07/2000,HT0111,2021-03-04,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,9061d753-ce95-11eb-967a-7c67a234f601,Port-au-Prince,HT0111,West,Moncash
50,male,31/05/1995,HT0111,2021-03-08,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,LinkedIn,Finding a job/internship,9061d754-ce95-11eb-a086-7c67a234f601,Port-au-Prince,HT0111,West,
51,male,05/12/1995,HT0111,2021-03-09,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,9061f3ee-ce95-11eb-a9d9-7c67a234f601,Port-au-Prince,HT0111,West,
52,male,09/12/1997,HT0111,2021-03-10,HT01,Bachelors (bacc +4),unknown,No,unknown,Yes,Yes,WhatsApp,Training to start my own company,90620452-ce95-11eb-9ec8-7c67a234f601,Port-au-Prince,HT0111,West,
53,male,19/10/1993,HT0111,2021-03-10,HT01,unknown,unknown,Yes,Yes,Yes,Yes,Ayiti Analytics Website,Improving my data analysis skills,90620453-ce95-11eb-bb57-7c67a234f601,Port-au-Prince,HT0111,West,
54,male,14/04/1986,HT0111,2021-03-10,HT01,Masters,Université INUKA,No,unknown,Yes,Yes,WhatsApp,Improving my data analysis skills,90621ae1-ce95-11eb-8a7d-7c67a234f601,Port-au-Prince,HT0111,West,
55,male,03/08/1990,HT0111,2021-03-10,HT01,Other,unknown,No,unknown,Yes,No,LinkedIn,Improving my data analysis skills,90622d22-ce95-11eb-a50b-7c67a234f601,Port-au-Prince,HT0111,West,
56,male,05/07/2002,HT0111,2021-03-11,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90622d23-ce95-11eb-8598-7c67a234f601,Port-au-Prince,HT0111,West,
57,male,05/05/1996,HT0111,2021-03-11,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,LinkedIn,Improving my data analysis skills,906241d4-ce95-11eb-a1eb-7c67a234f601,Port-au-Prince,HT0111,West,
58,male,,HT0111,2021-03-14,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,other,906241d5-ce95-11eb-9850-7c67a234f601,Port-au-Prince,HT0111,West,Moncash
59,male,22/03/1992,HT0112,2021-02-16,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,Bootcamp Alumni,unknown,90625b11-ce95-11eb-b351-7c67a234f601,Delmas,HT0112,West,
60,male,07/09/1996,HT0112,2021-02-16,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90626928-ce95-11eb-8f5e-7c67a234f601,Delmas,HT0112,West,
61,male,28/07/1994,HT0112,2021-02-16,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,No,Friend,Training to start my own company,90626929-ce95-11eb-86fe-7c67a234f601,Delmas,HT0112,West,
62,male,25/06/1997,HT0112,2021-02-16,HT01,High School (16 years),unknown,No,unknown,Yes,No,Friend,Improving my data analysis skills,9062692a-ce95-11eb-8ab8-7c67a234f601,Delmas,HT0112,West,Moncash
63,male,30/10/1995,HT0112,2021-02-16,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,WhatsApp,Finding a job/internship,90628a02-ce95-11eb-9291-7c67a234f601,Delmas,HT0112,West,Moncash
64,female,23/08/1998,HT0112,2021-02-16,HT01,Other,unknown,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90628fbe-ce95-11eb-bb9e-7c67a234f601,Delmas,HT0112,West,
65,male,17/05/1997,HT0112,2021-02-16,HT01,Other,unknown,No,unknown,Yes,Yes,Bootcamp Alumni,Improving my data analysis skills,90628fbf-ce95-11eb-819c-7c67a234f601,Delmas,HT0112,West,Moncash
66,male,25/12/1998,HT0112,2021-02-16,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90628fc0-ce95-11eb-8dae-7c67a234f601,Delmas,HT0112,West,Moncash
67,male,01/10/1995,HT0112,2021-02-16,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,Friend,Improving my data analysis skills,9062b753-ce95-11eb-8959-7c67a234f601,Delmas,HT0112,West,
68,male,31/03/1996,HT0112,2021-02-16,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Instagram,Finding a job/internship,9062b754-ce95-11eb-b31e-7c67a234f601,Delmas,HT0112,West,Credit Card/Paypal
69,female,20/09/1993,HT0112,2021-02-16,HT01,Bachelors (bacc +4),other,No,unknown,No,Yes,WhatsApp,Improving my data analysis skills,9062b755-ce95-11eb-85a2-7c67a234f601,Delmas,HT0112,West,Moncash
70,male,15/10/1983,HT0112,2021-02-16,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),Yes,Yes,Yes,Yes,WhatsApp,Finding a job/internship,9062ddb1-ce95-11eb-bd2f-7c67a234f601,Delmas,HT0112,West,
71,male,09/07/1995,HT0112,2021-02-16,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,No,WhatsApp,Finding a job/internship,9062ddb2-ce95-11eb-89d0-7c67a234f601,Delmas,HT0112,West,
72,female,19/02/1999,HT0112,2021-02-17,HT01,Bachelors (bacc +4),unknown,No,unknown,Yes,Yes,Instagram,Training to start my own company,9062ddb3-ce95-11eb-acc8-7c67a234f601,Delmas,HT0112,West,
73,female,20/09/1998,HT0112,2021-02-17,HT01,High School (16 years),unknown,No,unknown,Yes,Yes,Ayiti Analytics Website,Improving my data analysis skills,906304a6-ce95-11eb-b475-7c67a234f601,Delmas,HT0112,West,
74,male,09/04/1995,HT0112,2021-02-17,HT01,Other,unknown,No,unknown,Yes,Yes,Friend,Mentorship,906304a7-ce95-11eb-b805-7c67a234f601,Delmas,HT0112,West,
75,male,28/10/1998,HT0112,2021-02-17,HT01,Other,unknown,No,unknown,Yes,Yes,LinkedIn,Training to start my own company,90632b9f-ce95-11eb-bb7f-7c67a234f601,Delmas,HT0112,West,
76,male,22/06/1996,HT0112,2021-02-17,HT01,High School (16 years),unknown,Yes,Yes,Yes,Yes,WhatsApp,Finding a job/internship,90632ba0-ce95-11eb-b7c2-7c67a234f601,Delmas,HT0112,West,
77,male,01/06/1996,HT0112,2021-02-17,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,9063799a-ce95-11eb-b32b-7c67a234f601,Delmas,HT0112,West,
78,male,16/11/1983,HT0112,2021-02-17,HT01,Bachelors (bacc +4),Université INUKA,Yes,Yes,Yes,Yes,Friend,Improving my data analysis skills,9063a260-ce95-11eb-87e8-7c67a234f601,Delmas,HT0112,West,
79,male,15/12/1995,HT0112,2021-02-17,HT01,Other,unknown,No,unknown,Yes,Yes,WhatsApp,Finding a job/internship,9063c77d-ce95-11eb-a120-7c67a234f601,Delmas,HT0112,West,
80,male,28/12/1987,HT0112,2021-02-17,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,WhatsApp,Training to start my own company,9063c77e-ce95-11eb-81b3-7c67a234f601,Delmas,HT0112,West,
81,male,30/01/1997,HT0112,2021-02-17,HT01,Bachelors (bacc +4),Université INUKA,No,unknown,Yes,Yes,WhatsApp,Improving my data analysis skills,9063ee76-ce95-11eb-a84b-7c67a234f601,Delmas,HT0112,West,
82,male,03/12/1999,HT0112,2021-02-18,HT01,High School (16 years),unknown,unknown,unknown,No,Yes,Instagram,Training to start my own company,9063ee77-ce95-11eb-9098-7c67a234f601,Delmas,HT0112,West,
83,male,19/09/1980,HT0112,2021-02-18,HT01,Other,unknown,No,unknown,Yes,Yes,LinkedIn,Switching careers,9063ee78-ce95-11eb-a8d6-7c67a234f601,Delmas,HT0112,West,
84,male,30/12/1992,HT0112,2021-02-18,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,90642613-ce95-11eb-8b26-7c67a234f601,Delmas,HT0112,West,Moncash
85,male,12/02/1997,HT0112,2021-02-18,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,90642614-ce95-11eb-8db0-7c67a234f601,Delmas,HT0112,West,
86,male,30/01/1990,HT0112,2021-02-18,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,Friend,Finding a job/internship,90643c59-ce95-11eb-aec2-7c67a234f601,Delmas,HT0112,West,
87,male,21/06/1996,HT0112,2021-02-18,HT01,Other,unknown,Yes,Yes,Yes,Yes,Friend,Training to start my own company,90643c5a-ce95-11eb-b510-7c67a234f601,Delmas,HT0112,West,Moncash
88,male,29/05/1991,HT0112,2021-02-18,HT01,Other,unknown,No,unknown,Yes,No,Friend,Training to start my own company,90646353-ce95-11eb-9f27-7c67a234f601,Delmas,HT0112,West,
89,male,19/09/1974,HT0112,2021-02-18,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,LinkedIn,Training to start my own company,90646354-ce95-11eb-a5c9-7c67a234f601,Delmas,HT0112,West,
90,male,29/12/1994,HT0112,2021-02-18,HT01,Bachelors (bacc +4),Quisqueya University,No,unknown,Yes,No,Friend,Switching careers,90646355-ce95-11eb-ae9f-7c67a234f601,Delmas,HT0112,West,
91,female,16/10/1997,HT0112,2021-02-18,HT01,Other,unknown,No,unknown,Yes,Yes,Facebook,Improving my data analysis skills,9064923a-ce95-11eb-a2ad-7c67a234f601,Delmas,HT0112,West,Moncash
92,male,14/08/2021,HT0112,2021-02-18,HT01,Other,unknown,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,9064923b-ce95-11eb-a771-7c67a234f601,Delmas,HT0112,West,
93,male,06/07/1998,HT0112,2021-02-18,HT01,Other,unknown,No,unknown,Yes,Yes,Friend,Finding a job/internship,9064b6be-ce95-11eb-b2ac-7c67a234f601,Delmas,HT0112,West,Moncash
94,male,30/01/1991,HT0112,2021-02-19,HT01,Other,unknown,No,unknown,Yes,No,WhatsApp,Finding a job/internship,9064c427-ce95-11eb-9d48-7c67a234f601,Delmas,HT0112,West,
95,male,19/03/1991,HT0112,2021-02-19,HT01,Bachelors (bacc +4),Université INUKA,No,unknown,Yes,No,Friend,Improving my data analysis skills,9064c428-ce95-11eb-a021-7c67a234f601,Delmas,HT0112,West,Moncash
96,male,14/04/1989,HT0112,2021-02-19,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),Yes,Yes,Yes,Yes,WhatsApp,Improving my data analysis skills,9064d839-ce95-11eb-8172-7c67a234f601,Delmas,HT0112,West,
97,male,01/05/1988,HT0112,2021-02-19,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),Yes,Yes,Yes,Yes,WhatsApp,Improving my data analysis skills,9064d83a-ce95-11eb-9bef-7c67a234f601,Delmas,HT0112,West,
98,male,20/01/1987,HT0112,2021-02-20,HT01,Bachelors (bacc +4),Université INUKA,Yes,Yes,Yes,Yes,Ayiti Analytics Website,Improving my data analysis skills,9064d83b-ce95-11eb-a034-7c67a234f601,Delmas,HT0112,West,
99,male,21/04/1991,HT0112,2021-02-20,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),Yes,No,Yes,Yes,Friend,Improving my data analysis skills,9064d83c-ce95-11eb-bc96-7c67a234f601,Delmas,HT0112,West,
100,male,12/06/1997,HT0112,2021-02-20,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,Bootcamp Alumni,Improving my data analysis skills,9064ff26-ce95-11eb-8428-7c67a234f601,Delmas,HT0112,West,Moncash
101,male,13/07/1990,HT0112,2021-02-21,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,LinkedIn,Finding a job/internship,9064ff27-ce95-11eb-aaa6-7c67a234f601,Delmas,HT0112,West,Moncash
102,female,17/06/1989,HT0112,2021-02-23,HT01,Masters,Ecole Supérieure d'Infotronique d'Haïti (ESIH),Yes,Yes,Yes,Yes,Bootcamp Alumni,Improving my data analysis skills,9064ff28-ce95-11eb-857f-7c67a234f601,Delmas,HT0112,West,Credit Card/Paypal
103,female,28/08/1986,HT0112,2021-02-23,HT01,Masters,other,No,unknown,Yes,Yes,WhatsApp,Finding a job/internship,9064ff29-ce95-11eb-a3d3-7c67a234f601,Delmas,HT0112,West,Credit Card/Paypal
104,male,06/01/1994,HT0112,2021-02-23,HT01,Other,unknown,No,unknown,Yes,Yes,WhatsApp,Mentorship,9064ff2a-ce95-11eb-8430-7c67a234f601,Delmas,HT0112,West,
105,male,14/12/1996,HT0112,2021-02-24,HT01,Bachelors (bacc +4),other,Yes,Yes,Yes,Yes,Friend,Finding a job/internship,90652a93-ce95-11eb-a8af-7c67a234f601,Delmas,HT0112,West,Moncash
106,female,17/07/1994,HT0112,2021-02-25,HT01,Other,unknown,No,unknown,No,No,Bootcamp Alumni,Finding a job/internship,90652a94-ce95-11eb-892d-7c67a234f601,Delmas,HT0112,West,
107,male,23/03/1994,HT0112,2021-02-25,HT01,Bachelors (bacc +4),Université INUKA,No,unknown,Yes,Yes,Ayiti Analytics Website,Mentorship,90652a95-ce95-11eb-8845-7c67a234f601,Delmas,HT0112,West,
108,male,11/06/1995,HT0112,2021-02-25,HT01,Bachelors (bacc +4),Centre de Techniques de Planification et d'Economie Appliquée (CTPEA),No,unknown,Yes,Yes,LinkedIn,Improving my data analysis skills,90652a96-ce95-11eb-97b2-7c67a234f601,Delmas,HT0112,West,
109,male,06/06/1999,HT0112,2021-02-25,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Improving my data analysis skills,90652a97-ce95-11eb-856d-7c67a234f601,Delmas,HT0112,West,
110,male,04/09/1994,HT0112,2021-02-26,HT01,Other,unknown,Yes,Yes,Yes,Yes,Friend,Training to start my own company,906555be-ce95-11eb-9d03-7c67a234f601,Delmas,HT0112,West,
111,male,13/12/1997,HT0112,2021-02-27,HT01,High School (16 years),unknown,Yes,Yes,Yes,Yes,WhatsApp,Improving my data analysis skills,906555bf-ce95-11eb-92ac-7c67a234f601,Delmas,HT0112,West,
112,male,21/10/1998,HT0112,2021-02-27,HT01,Other,unknown,No,unknown,Yes,Yes,Friend,Switching careers,906555c0-ce95-11eb-a091-7c67a234f601,Delmas,HT0112,West,
113,male,07/11/1991,HT0112,2021-03-01,HT01,Bachelors (bacc +4),Ecole Supérieure d'Infotronique d'Haïti (ESIH),No,unknown,Yes,Yes,ESIH,Finding a job/internship,906555c1-ce95-11eb-95e0-7c67a234f601,Delmas,HT0112,West,Moncash
114,female,17/11/1988,HT0112,2021-03-03,HT01,Masters,other,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,9065740c-ce95-11eb-968f-7c67a234f601,Delmas,HT0112,West,Credit Card/Paypal
115,male,20/10/1980,HT0112,2021-03-03,HT01,Bachelors (bacc +4),other,No,unknown,No,No,Facebook,Training to start my own company,90658229-ce95-11eb-ab19-7c67a234f601,Delmas,HT0112,West,
116,female,,HT0112,2021-03-03,HT01,Bachelors (bacc +4),Université d'Etat d'Haïti (UEH),No,unknown,Yes,Yes,Friend,Improving my data analysis skills,9065822a-ce95-11eb-9df5-7c67a234f601,Delmas,HT0112,West,
117,male,07/12/1970,HT0112,2021-03-05,HT01,Masters,other,Yes,Yes,Yes,Yes,other,Improving my data analysis skills,9065822b-ce95-11eb-a3e6-7c67a234f601,Delmas,HT0112,West,
118,male,23/06/1996,HT0112,2021-03-06,HT01,Bachelors (bacc +4),other,No,unknown,Yes,Yes,Friend,Improving my data analysis skills,90659aff-ce95-11eb-bcbe-7c67a234f601,Delmas,HT0112,West,Moncash
